path	type	size_bytes	size_human	category	recommendation	reason	reproducible	important
src/babappa/site/__pycache__/threshold_policy_audit.cpython-311.pyc	file	3973	3.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/tensors/__pycache__/__init__.cpython-311.pyc	file	730	730B	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/tensors/__pycache__/audit.cpython-311.pyc	file	6876	6.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/tensors/__pycache__/build.cpython-311.pyc	file	23025	22.5K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/training/__pycache__/__init__.cpython-311.pyc	file	2753	2.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/training/__pycache__/losses.cpython-311.pyc	file	4525	4.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/training/__pycache__/mps.cpython-311.pyc	file	24347	23.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/training/__pycache__/neural_audit.cpython-311.pyc	file	7712	7.5K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/training/__pycache__/neural_data.cpython-311.pyc	file	19613	19.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/training/__pycache__/neural_env.cpython-311.pyc	file	10355	10.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/training/__pycache__/neural_full_audit.cpython-311.pyc	file	8059	7.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/training/__pycache__/neural_model.cpython-311.pyc	file	20197	19.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/training/__pycache__/neural_train.cpython-311.pyc	file	20969	20.5K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/training/__pycache__/neural_train_full.cpython-311.pyc	file	39428	38.5K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_align.cpython-311-pytest-9.0.3.pyc	file	21778	21.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_apple_silicon_mps_c37.cpython-311-pytest-9.0.3.pyc	file	32919	32.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_audit.cpython-311-pytest-9.0.3.pyc	file	13518	13.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_baseline.cpython-311-pytest-9.0.3.pyc	file	25432	24.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_branch_conditioned.cpython-311-pytest-9.0.3.pyc	file	59938	58.5K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_branch_context_ablation.cpython-311-pytest-9.0.3.pyc	file	10890	10.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_branch_feature_policy_c36.cpython-311-pytest-9.0.3.pyc	file	23694	23.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
